Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193342,C0516.0000R,2024-03-08,2123.359999999999,170.3,114.2,35.2,4019.8400000000006,20.64,121438,189,0,0,0,61,0,0,0,0,12,4,56,0,6,2,9,0,0,0
193342,C0516.0000R,2024-03-09,2124.1499999999983,169.5,114.6,35.3,4045.3799999999997,21.464,126714,156,0,0,0,79,0,0,0,0,9,7,15,0,7,0,0,0,3,0
193342,C0516.0000R,2024-03-10,2123.599999999999,169.7,113.2,35.3,3995.9599999999996,21.496,126718,177,0,0,0,89,0,0,0,0,9,11,19,0,1,8,2,0,1,1
193342,C0516.0000R,2024-03-11,2137.029999999999,170.4,96.1,34.8,3344.2799999999997,3.07,18040,143,0,2,0,32,0,0,0,0,15,1,9,0,1,0,2,0,0,0
193368,C1137.0000R,2024-02-14,2150.6199999999985,171.5,24.0,9.7,232.79999999999998,22.992,134400,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193368,C1137.0000R,2024-02-16,2158.4499999999985,171.7,91.3,39.8,3633.74,24.699,144000,254,0,0,0,79,0,0,0,0,1,9,3,0,24,0,0,0,0,0
193368,C1137.0000R,2024-02-17,2163.649999999999,171.9,91.1,39.5,3598.45,24.736,143998,249,0,0,0,85,0,0,0,0,2,2,4,0,30,0,0,0,0,0
193368,C1137.0000R,2024-02-18,2163.4999999999995,171.5,88.9,40.2,3573.7800000000007,24.646,144000,229,0,0,0,85,0,0,2,0,1,1,5,0,29,0,0,0,0,0
193368,C1137.0000R,2024-02-19,2163.0999999999995,171.6,88.0,40.8,3590.3999999999996,24.655,144002,212,0,0,2,73,0,0,0,0,3,0,2,0,30,0,0,0,0,0
193368,C1137.0000R,2024-02-20,2162.97,171.5,86.3,41.1,3546.93,24.646,143998,218,0,0,2,93,0,0,0,0,2,1,14,0,30,0,0,0,0,0
193368,C1137.0000R,2024-02-21,2149.1599999999994,171.4,73.0,25.7,1876.1,1.288,7500,180,0,0,3,23,0,0,0,0,0,0,0,0,3,0,0,0,0,0
193459,C0068.0000R,2024-03-11,2137.029999999999,183.6,96.1,34.8,3344.2799999999997,14.47,75612,143,0,0,0,9,0,0,0,1,2,3,1,0,0,0,0,0,0,0
